Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,KO,PEP,KO,PEP,KO,PEP,KO,PEP,KO,PEP
Date,,,,,,,,,,
2012-06-14,25.466529846191406,47.7938117980957,25.553951979134908,48.06290264509146,25.116843879696116,47.31774013958421,25.147106472563703,47.379834383038926,13945400,5879900
2012-06-15,25.584218978881836,47.93871307373047,25.621205177311232,48.11809996868965,25.358941272287826,47.74551868345237,25.594308222773,47.9525100410316,19748800,8815900
2012-06-18,25.547237396240234,48.02150344848633,25.695179636552755,48.12499912305808,25.47662550973155,47.883512725063106,25.540511233106262,47.89730969180196,10457200,4337700
2012-06-19,25.466529846191406,47.821407318115234,25.63801103169785,48.11809207450036,25.43963289898308,47.752411964911076,25.63801103169785,48.111196223985566,11115400,5340200
2012-06-20,25.406017303466797,47.54542922973633,25.46653994793061,47.77311338482923,25.163926725611553,47.11764958754677,25.449729669917158,47.70411802680083,14706800,8799900
2012-06-21,25.106760025024414,47.26255416870117,25.550591769818002,47.952518463134766,25.089949751790115,47.23495496524265,25.48334554632282,47.66963057569228,12804000,7056100
2012-06-22,25.197540283203125,47.400516510009766,25.31858551386486,47.642008079518796,25.170640772994183,47.35912036163984,25.200900798020378,47.35912036163984,15252800,5330600
2012-06-25,25.140382766723633,47.33842849731445,25.163919201128408,47.42812191855085,24.93864153392858,46.98654539798999,25.036150352256627,47.014144588525966,9734200,5120700
2012-06-26,25.24461555480957,47.56611633300781,25.338761284255224,47.69720590380524,24.948726044804687,47.12453982672694,25.214352961614196,47.29703081399313,11859400,6461800
2012-06-27,25.66827392578125,48.12498092651367,25.715349360530038,48.24227352347476,25.29841456625614,47.57300771351013,25.29841456625614,47.676503348949126,13644400,7553700
2012-06-28,25.745607376098633,48.02150344848633,25.77923048519086,48.17329640265707,25.449720424696757,47.68342249129336,25.587575941558512,47.96630505351357,10891200,6067200
2012-06-29,26.290319442749023,48.75285339355469,26.290319442749023,48.75285339355468,25.91709691152251,48.166379846985286,25.933907188841413,48.26987548838029,18519800,8886700
2012-07-02,26.535768508911133,48.82185363769531,26.562668028911265,48.8425517152522,26.229794806067705,48.29747952888813,26.260054842108293,48.53206475987627,13350200,6248000
2012-07-03,26.616472244262695,48.82185363769531,26.683718492059086,48.91154706177768,26.465164338800935,48.58726314269966,26.525686987929653,48.58726314269966,7335000,3377200
2012-07-05,26.377727508544922,48.414772033691406,26.60973129551323,48.6769617194993,26.29366846286405,48.33887557348464,26.56938203008616,48.64246141431168,10546400,4417100
2012-07-06,26.27686309814453,48.44926452636719,26.323935967290893,48.635552457921634,26.17262811765275,48.028386138181475,26.233150744452214,48.228476295188344,10036000,4578900
2012-07-09,26.21970558166504,48.290584564208984,26.297038487557753,48.594170444387814,26.128920351798953,48.08359849827557,26.24660253377428,48.38717911444621,8615600,4289200
2012-07-10,26.21970558166504,48.207786560058594,26.40799707282556,48.4975701766067,26.165906546888223,48.10429090728925,26.404633991832217,48.40787675167731,11583400,5074800
2012-07-11,26.044858932495117,48.38716125488281,26.20961397238589,48.49065688165367,25.940626518624477,48.021481269097855,26.192803699495204,48.12497689586872,13645600,6239200
2012-07-12,25.769153594970703,48.19399642944336,25.980981571445483,48.38028970399136,25.728804309569895,48.11809994929549,25.900285565923628,48.26989290959123,19104000,5637500
